time,peak_percentage
00:00,0.947
00:15,0.947
00:30,0.941
00:45,0.941
01:00,0.95
01:15,0.966
01:30,0.984
01:45,0.998
02:00,0.998
02:15,0.98
02:30,0.951
02:45,0.919
03:00,0.895
03:15,0.884
03:30,0.883
03:45,0.883
04:00,0.877
04:15,0.861
04:30,0.843
04:45,0.835
05:00,0.847
05:15,0.885
05:30,0.94
05:45,0.995
06:00,1.034
06:15,1.047
06:30,1.04
06:45,1.024
07:00,1.01
07:15,1.008
07:30,1.021
07:45,1.053
08:00,1.107
08:15,1.182
08:30,1.267
08:45,1.347
09:00,1.409
09:15,1.442
09:30,1.454
09:45,1.455
10:00,1.458
10:15,1.47
10:30,1.49
10:45,1.512
11:00,1.53
11:15,1.54
11:30,1.543
11:45,1.543
12:00,1.542
12:15,1.543
12:30,1.545
12:45,1.543
13:00,1.536
13:15,1.522
13:30,1.499
13:45,1.47
14:00,1.433
14:15,1.392
14:30,1.352
14:45,1.321
15:00,1.306
15:15,1.313
15:30,1.335
15:45,1.362
16:00,1.385
16:15,1.398
16:30,1.403
16:45,1.405
17:00,1.409
17:15,1.42
17:30,1.437
17:45,1.458
18:00,1.482
18:15,1.506
18:30,1.525
18:45,1.533
19:00,1.524
19:15,1.493
19:30,1.444
19:45,1.384
20:00,1.318
20:15,1.253
20:30,1.193
20:45,1.143
21:00,1.107
21:15,1.088
21:30,1.081
21:45,1.08
22:00,1.077
22:15,1.066
22:30,1.049
22:45,1.03
23:00,1.01
23:15,0.993
23:30,0.978
23:45,0.966
