ID,DEMAND,DUE DATE,cap_0[kWh],cap[kWh],peak[kW],profile,power_cdc[kW],n_charge,lat,lon
2,10.0,989.0,40.040485829959515,40.040485829959515,2.42914979757085,const.csv,100,10,49.58368421052632,11.019375
3,30.0,879.0,73.8655462184874,73.8655462184874,5.042016806722689,const.csv,100,10,49.58368421052632,11.020625
4,10.0,156.0,1.4444444444444429,1.4444444444444429,0.5555555555555555,const.csv,100,10,49.5821052631579,11.018125000000001
5,10.0,806.0,18.744186046511626,18.744186046511626,1.3953488372093021,const.csv,100,10,49.5821052631579,11.019375
6,10.0,60.0,0.5102040816326525,0.5102040816326525,0.510204081632653,const.csv,100,10,49.5821052631579,11.0175
7,20.0,764.0,32.3728813559322,32.3728813559322,2.542372881355932,const.csv,100,10,49.58105263157895,11.02
8,20.0,223.0,4.402764067127343,4.402764067127343,1.1846001974333662,const.csv,100,10,49.58105263157895,11.018125000000001
9,20.0,329.0,7.254685777287758,7.254685777287758,1.323042998897464,const.csv,100,10,49.580000000000005,11.019375
10,10.0,650.0,11.092150170648466,11.092150170648466,1.0238907849829353,const.csv,100,10,49.580000000000005,11.020625
11,10.0,406.0,4.89156626506024,4.89156626506024,0.7228915662650601,const.csv,100,10,49.57842105263158,11.018125000000001
12,10.0,503.0,6.862210095497957,6.862210095497957,0.8185538881309687,const.csv,100,10,49.57842105263158,11.02
13,20.0,726.0,28.470588235294116,28.470588235294116,2.352941176470588,const.csv,100,10,49.573157894736845,11.030000000000001
14,30.0,95.0,2.4978089395267276,2.4978089395267276,1.5775635407537245,const.csv,100,10,49.57157894736842,11.02375
15,10.0,616.0,9.935483870967744,9.935483870967744,0.967741935483871,const.csv,100,10,49.57157894736842,11.030000000000001
16,40.0,421.0,20.66257668711657,20.66257668711657,2.9447852760736195,const.csv,100,10,49.57052631578948,11.026875
17,40.0,525.0,29.53586497890295,29.53586497890295,3.375527426160337,const.csv,100,10,49.57052631578948,11.030000000000001
18,20.0,142.0,2.595978062157222,2.595978062157222,1.0968921389396709,const.csv,100,10,49.56947368421053,11.02375
19,20.0,261.0,5.353846153846156,5.353846153846156,1.2307692307692308,const.csv,100,10,49.567894736842106,11.02375
20,10.0,349.0,3.9346110484780166,3.9346110484780166,0.6764374295377678,const.csv,100,10,49.567894736842106,11.026875
21,10.0,77.0,0.6643658326143225,0.6643658326143225,0.5176876617773942,const.csv,100,10,49.57578947368421,11.008125
22,20.0,961.0,69.89090909090908,69.89090909090908,4.363636363636362,const.csv,100,10,49.57578947368421,11.009375
23,20.0,889.0,51.23919308357348,51.23919308357348,3.4582132564841492,const.csv,100,10,49.57473684210527,11.009375
24,10.0,770.0,16.523605150214593,16.523605150214593,1.2875536480686696,const.csv,100,10,49.57473684210527,11.01125
25,10.0,154.0,1.4232902033271717,1.4232902033271717,0.55452865064695,const.csv,100,10,49.573157894736845,11.008125
26,40.0,221.0,8.709359605911331,8.709359605911331,2.3645320197044333,const.csv,100,10,49.573157894736845,11.009375
27,10.0,711.0,13.542857142857141,13.542857142857141,1.1428571428571428,const.csv,100,10,49.573157894736845,11.01125
28,10.0,313.0,3.3911159263271955,3.3911159263271955,0.6500541711809318,const.csv,100,10,49.572105263157894,11.009375
29,20.0,586.0,18.03076923076923,18.03076923076923,1.846153846153846,const.csv,100,10,49.572105263157894,11.01125
30,10.0,398.0,4.749403341288783,4.749403341288783,0.7159904534606205,const.csv,100,10,49.57052631578948,11.008125
31,10.0,501.0,6.816326530612244,6.816326530612244,0.8163265306122448,const.csv,100,10,49.57052631578948,11.01125
32,20.0,233.0,4.6460618145563295,4.6460618145563295,1.1964107676969091,const.csv,100,10,49.56526315789474,10.998750000000001
33,30.0,189.0,5.41547277936963,5.41547277936963,1.7191977077363896,const.csv,100,10,49.56526315789474,11.001875
34,40.0,203.0,7.860600193610843,7.860600193610843,2.323330106485963,const.csv,100,10,49.56421052631579,11.001875
35,20.0,852.0,44.375,44.375,3.125,const.csv,100,10,49.56421052631579,11.005
36,10.0,376.0,4.372093023255813,4.372093023255813,0.6976744186046511,const.csv,100,10,49.56263157894737,10.998750000000001
37,10.0,733.0,14.572564612326044,14.572564612326044,1.1928429423459244,const.csv,100,10,49.56263157894737,11.005
38,20.0,452.0,11.53061224489796,11.53061224489796,1.530612244897959,const.csv,100,10,49.56105263157895,11.001875
39,30.0,527.0,22.299012693935126,22.299012693935126,2.538787023977433,const.csv,100,10,49.56,11.001875
40,20.0,650.0,22.184300341296932,22.184300341296932,2.0477815699658706,const.csv,100,10,49.56,11.005
41,10.0,345.0,3.872053872053872,3.872053872053872,0.6734006734006733,const.csv,100,10,49.57842105263158,10.995625
42,10.0,278.0,2.901878914405012,2.901878914405012,0.6263048016701461,const.csv,100,10,49.57842105263158,10.996875000000001
43,20.0,225.0,4.451038575667656,4.451038575667656,1.1869436201780414,const.csv,100,10,49.57736842105263,10.996875000000001
44,10.0,153.0,1.4127423822714693,1.4127423822714693,0.554016620498615,const.csv,100,10,49.57736842105263,10.998750000000001
45,10.0,433.0,5.392278953922791,5.392278953922791,0.7471980074719801,const.csv,100,10,49.57684210526316,10.995625
46,10.0,628.0,10.328947368421051,10.328947368421051,0.9868421052631577,const.csv,100,10,49.57578947368421,10.995625
47,30.0,542.0,23.42939481268011,23.42939481268011,2.5936599423631117,const.csv,100,10,49.57578947368421,10.996875000000001
48,10.0,1127.0,103.394495412844,103.394495412844,5.5045871559633,const.csv,100,10,49.57578947368421,10.998750000000001
49,10.0,726.0,14.235294117647058,14.235294117647058,1.176470588235294,const.csv,100,10,49.57473684210527,10.995625
50,10.0,1126.0,102.36363636363636,102.36363636363636,5.454545454545454,const.csv,100,10,49.57473684210527,10.998750000000001
51,10.0,916.0,28.624999999999993,28.624999999999993,1.8749999999999996,const.csv,100,10,49.57368421052632,10.996875000000001
52,10.0,816.0,19.42857142857143,19.42857142857143,1.4285714285714286,const.csv,100,10,49.573157894736845,10.995625
53,10.0,1024.0,48.30188679245284,48.30188679245284,2.8301886792452833,const.csv,100,10,49.573157894736845,10.998750000000001
54,20.0,412.0,9.999999999999996,9.999999999999996,1.4563106796116503,const.csv,100,10,49.58315789473684,10.98
55,40.0,347.0,15.613048368953883,15.613048368953883,2.699662542182227,const.csv,100,10,49.5821052631579,10.983125000000001
56,10.0,233.0,2.3230309072781647,2.3230309072781647,0.5982053838484546,const.csv,100,10,49.5821052631579,10.98625
57,30.0,474.0,18.66141732283465,18.66141732283465,2.362204724409449,const.csv,100,10,49.58105263157895,10.98
58,40.0,172.0,6.466165413533837,6.466165413533837,2.255639097744361,const.csv,100,10,49.58105263157895,10.98625
59,30.0,602.0,28.48580441640378,28.48580441640378,2.839116719242902,const.csv,100,10,49.580000000000005,10.98
60,10.0,870.0,23.770491803278688,23.770491803278688,1.6393442622950818,const.csv,100,10,49.580000000000005,10.98625
61,20.0,704.0,26.466165413533837,26.466165413533837,2.255639097744361,const.csv,100,10,49.57842105263158,10.98
62,10.0,719.0,13.90715667311412,13.90715667311412,1.1605415860735009,const.csv,100,10,49.58631578947369,10.995625
63,20.0,362.0,8.283752860411902,8.283752860411902,1.3729977116704806,const.csv,100,10,49.58631578947369,10.998750000000001
64,50.0,247.0,12.48736097067745,12.48736097067745,3.0333670374115265,const.csv,100,10,49.58631578947369,11.001875
